Site,1km_square,bog,broadleaf,built,conifer,dwarf,rough,river,people_km2,grassland,lat,long,year,bait
Castle Dillan,H 9147,0,0.03503,0.041047,0.012196,0.033056,0.0532,1370.40476,13.43561,0.865946,54.36355576,-6.600817108,1,sunflower and peanuts
Castlecaldwell,H 0160,0,0.378507,0.019868,0.172773,0,0,676.391471,44.810001,0.406767,54.48845164,-7.985316965,1,sunflower and peanuts
Castleward,J 5748,0,0.016641,0.014852,0.211468,0,0.024784,0,29.994499,0.757039,54.35649831,-5.585745848,1,sunflower and peanuts
Castlewellan,J 3237,0,0.027268,0.001124,0.763303,0.104168,0.028084,0,111.760575,0.037257,54.26481959,-5.974865186,1,sunflower and peanuts
Castlewoods,J 4037,0,0.004161,0.030031,0.01336,0.010513,0.06491,196.784527,48.1938,0.941811,54.26269528,-5.852177324,1,sunflower and peanuts
Church Wood,H 7452,0,0.028145,0.014158,0.007955,0,0.02141,2538.174352,12.5006,0.949741,54.41121245,-6.861035126,1,sunflower and peanuts
Clabby,H 4151,0,0.12044,0,0.166184,0.011992,0.188298,355.240543,57.883801,0.701385,54.40595433,-7.369374801,1,sunflower and peanuts
Cladagh Glen,H 1235,0,0.172421,0.039376,0.023713,0.011645,0.277559,2500.641656,133.436305,0.749699,54.26372655,-7.81659117,1,sunflower and peanuts
Clandeboye,J 4877,0,0.308886,0.008801,0.32062,0.165179,0.055933,0,75.3032,0.185151,54.6194951,-5.709546764,1,sunflower and peanuts
Clare Glen,J 0143,0,0.205806,0.021222,0,0.019261,0.050844,4153.284296,27.500051,0.740299,54.32575382,-6.448392339,1,sunflower and peanuts
Clare Wood,D 0642,0.014146,0.020455,0.012354,0.136011,0.134482,0.135314,1096.09752,44.209366,0.682552,55.21367603,-6.335467958,1,sunflower and peanuts
Clare Wood 2,D 0741,0.223585,0.008464,0,0.597347,0.006031,0.011829,2267.390426,19.773899,0.164574,55.20448236,-6.320143503,1,sunflower and peanuts
Clarkhill,J 4394,0,0.000923,0.003573,0,0,0.033406,2159.087434,39.140167,0.995505,54.77353007,-5.778560671,1,sunflower and peanuts
Claudy CP,C 5406,0,0.065046,0.005585,0.007408,0.000025,0.293095,1589.822881,4038.855533,0.921936,54.89875649,-7.159061246,1,sunflower and peanuts
Clements wood,J 3497,0,0.05036,0.037217,0,0.022968,0.195887,5271.518992,19.703699,0.877413,54.80294057,-5.91692789,1,sunflower and peanuts
Clocnaboghill,H 4632,0,0.223088,0,0.250889,0.01123,0.191198,5399.702634,12.8319,0.449585,54.2348536,-7.295308939,1,sunflower and peanuts
