"","X1km_square","overall_pa_2015","overall_pa_2018","overall_pa_2020","bait","bog","broadleaf","built","conifer","grassland","dwarf","river","rough","lat","long","people_km2","Day.1_2015","Day.1_2018","Day.1_2020","Day.2_2015","Day.2_2018","Day.2_2020","Day.3_2015","Day.3_2018","Day.3_2020","Day.4_2015","Day.4_2018","Day.4_2020","Day.5_2015","Day.5_2018","Day.5_2020","Day.6_2015","Day.6_2018","Day.6_2020","Day.7_2015","Day.7_2018","Day.7_2020","Day.8_2015","Day.8_2018","Day.8_2020","Day.9_2015","Day.9_2018","Day.9_2020","Day.10_2015","Day.10_2018","Day.10_2020","Day.11_2015","Day.11_2018","Day.11_2020","Day.12_2015","Day.12_2018","Day.12_2020","Day.13_2015","Day.13_2018","Day.13_2020","Day.14_2015","Day.14_2018","Day.14_2020"
"49","C4215",0,0,1,"sunflower and peanuts",0,0.024045,0.489519,0.0624,0.410201,0,910.175332,0,54.98074555,-7.344773996,20.590099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,NA,0,1,NA,0,0,NA,0,1,NA,0,0,NA,0,0
"50","H5085",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","C9705",0,NA,0,"sunflower and peanuts",0,0.181989,0.037575,0.027955,0.681096,0.019083,5104.842909,0.033977,54.88328965,-6.489365032,14.64766,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"52","H5093",0,0,1,"sunflower and peanuts",0.076483,0.204337,0.008762,0.153274,0.200154,0.125713,3967.759985,0.231278,54.78240721,-7.223647646,50.4328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,0,0,NA,0,0,NA,0,1,NA,0,1,NA,0,1,NA,0,1,NA,0,1
"53","D1233",0,7,1,"sunflower and peanuts",0.139937,0.122772,0,0.466796,0.037029,0.206054,1030.457131,0.027412,55.13155146,-6.244810174,4.73723,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,NA,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1
"54","J3169",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","C5314",0,0,0,"sunflower and peanuts",0.192918,0.038008,0.016442,0.396941,0.350017,0,164.128178,0,54.97071676,-7.173172828,47.814751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"56","C5216",0,0,0,"sunflower and peanuts",0,0.060182,0.076975,0.021217,0.83526,0.003305,5807.509857,0.003061,54.98878522,-7.188423345,70.8566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"57","H9455",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","C5021",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"59","C4304",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","J4577",0,0,0,"sunflower and peanuts",0,0.114789,0.008758,0.249167,0.507678,0.072722,0,0.046886,54.62036449,-5.755950073,9.0465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"61","C7821",0,NA,1,"sunflower and peanuts",0,0.050047,0,0.515573,0.132022,0.170061,0,0.132297,55.03029921,-6.780982721,42.803651,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1
"62","C7523",0,NA,0,"sunflower and peanuts",0,0.02942,0,0.690883,0.171389,0.047223,3375.943153,0.061084,55.04872124,-6.82736104,115.996902,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"63","J0525",1,NA,1,"sunflower and peanuts",0,0.02346,0,0.230125,0.331531,0.370569,1330.48964,0.044316,54.163306,-6.39323578,22.03915,0,NA,1,0,NA,1,0,NA,1,0,NA,1,0,NA,1,1,NA,1,0,NA,1,0,NA,1,0,NA,1,0,NA,0,0,NA,0,0,NA,1,NA,NA,0,NA,NA,0
