"gridid","prefix","number","Shape_Length","Shape_Area","OBJECTID","Join_ID","sum_Shape_Area","sum_Area_SQUAREKILOMETERS","Polygon_Count","X231","X243","X312","X324","X412","X512","X111","X112","X121","X142","X311","X313","X321","X322","X332","X333","X122","X211","X242","X421","X423","X522","X131","X411","X331","X521","X133","X511","X334","X124","X141","X222","X132","X123","NA.","total","artificial_surfaces","agricultural_surfaces","forested_and_semi_natural","wetlands","water_bodies","urban","forest","scrub","y","x"
"B72","B",72,40000,1e+08,6623,724,132416.102946723,0.1324053834819,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132416102946723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132416102946723,0,0,0.00132416102946723,0,0,0,0,0,55.071693,-8.391398
"B72","B",72,40000,1e+08,6624,724,1811025.03772432,1.81086790738418,3,0,0,0,0,0.0181102503772432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181102503772432,0,0,0,0.0181102503772432,0,0,0,0,55.071693,-8.391398
"B72","B",72,40000,1e+08,6625,724,3290443.55869321,3.29017515883314,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329044355869321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329044355869321,0,0,0,0.0329044355869321,0,0,0,0,55.071693,-8.391398
"B72","B",72,40000,1e+08,6626,724,142030.118193606,0.142018191582936,1,0,0,0,0,0,0.00142030118193606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142030118193606,0,0,0,0,0.00142030118193606,0,0,0,55.071693,-8.391398
"B72","B",72,40000,1e+08,6627,724,1622675.45111267,1.62254503241851,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162267545111267,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162267545111267,0,0,0,0,0.0162267545111267,0,0,0,55.071693,-8.391398
"B73","B",73,40000,1e+08,6724,736,365496.504211219,0.365466698676257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365496504211219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365496504211219,0,0,0.00365496504211219,0,0,0,0,0,55.161526,-8.392278
"B80","B",80,40000,1e+08,7334,806,30763.7582776416,0.030761528850603,1,0.00030763758277642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030763758277642,0,0.00030763758277642,0,0,0,0,0,0,54.892424,-8.233795
"B80","B",80,40000,1e+08,7335,806,6552687.41297941,6.55218662709896,4,0,0.0655268741297941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655268741297941,0,0.0655268741297941,0,0,0,0,0,0,54.892424,-8.233795
"B80","B",80,40000,1e+08,7336,806,14992944.6730325,14.9918126327412,8,0,0,0.149929446730325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149929446730325,0,0,0.149929446730325,0,0,0,0.149929446730325,0,54.892424,-8.233795
"B80","B",80,40000,1e+08,7337,806,508426.418031404,0.508389455163663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00508426418031404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00508426418031404,0,0,0.00508426418031404,0,0,0,0,0.00508426418031404,54.892424,-8.233795
"B80","B",80,40000,1e+08,7338,806,4604123.91212238,4.6037822337212,8,0,0,0,0.0460412391212238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460412391212238,0,0,0.0460412391212238,0,0,0,0,0.0460412391212238,54.892424,-8.233795
"B80","B",80,40000,1e+08,7339,806,30720.2466677939,0.030717966148629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030720246667794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030720246667794,0,0,0.00030720246667794,0,0,0,0,0,54.892424,-8.233795
"B80","B",80,40000,1e+08,7340,806,70270058.6092781,70.2647355072821,4,0,0,0,0,0.702700586092781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702700586092781,0,0,0,0.702700586092781,0,0,0,0,54.892424,-8.233795
"B80","B",80,40000,1e+08,7341,806,83313.6946112604,0.083307052026175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008331369461126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008331369461126,0,0,0,0.0008331369461126,0,0,0,0,54.892424,-8.233795
"B80","B",80,40000,1e+08,7342,806,1324196.04078674,1.32409442327332,5,0,0,0,0,0,0.0132419604078674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132419604078674,0,0,0,0,0.0132419604078674,0,0,0,54.892424,-8.233795
"B80","B",80,40000,1e+08,7343,806,1602765.23421271,1.60264059303611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160276523421271,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0160276523421271,0,0,0,0,0.0160276523421271,0,0,0,54.892424,-8.233795
