prefix,number,gridid,X_centroid,Y_centroid,y,x,Field,Field1,Shape_Length,Shape_Area
C,6707,C6707,-7,55,54.910550999999998,-6.947433000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6708,C6708,-7,55,54.919533000000001,-6.947198000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6709,C6709,-7,55,54.928514999999997,-6.946964000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6710,C6710,-7,55,54.937497000000000,-6.946729000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6711,C6711,-7,55,54.946480000000001,-6.946494000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6712,C6712,-7,55,54.955461999999997,-6.946259000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6713,C6713,-7,55,54.964444000000000,-6.946024000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6714,C6714,-7,55,54.973426000000003,-6.945789000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6715,C6715,-7,55,54.982408000000000,-6.945553000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6716,C6716,-7,55,54.991390000000003,-6.945318000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6717,C6717,-7,55,55.000371999999999,-6.945082000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6718,C6718,-7,55,55.009354999999999,-6.944847000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6719,C6719,-7,55,55.018337000000002,-6.944611000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6720,C6720,-7,55,55.027318999999999,-6.944375000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6721,C6721,-7,55,55.036301000000002,-6.944138000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6722,C6722,-7,55,55.045282999999998,-6.943902000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6723,C6723,-7,55,55.054265000000001,-6.943666000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6724,C6724,-7,55,55.063246999999997,-6.943429000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6725,C6725,-7,55,55.072229000000000,-6.943193000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6726,C6726,-7,55,55.081211000000003,-6.942956000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6727,C6727,-7,55,55.090192999999999,-6.942719000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6728,C6728,-7,55,55.099175000000002,-6.942482000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6729,C6729,-7,55,55.108156999999999,-6.942245000000000,0,0,4000.000000000000000,1000000.000000000000000
C,6730,C6730,-7,55,55.117139000000002,-6.942007000000000,0,0,4000.000000000000000,1000000.000000000000000
