prefix,number,gridid,y,x,Shape_Length,Shape_Area
M,36,M36,53.630754000000003,-8.982656000000000,40000.000000000000000,100000000.000000000000000
N,36,N36,53.633617000000001,-7.470847000000000,40000.000000000000000,100000000.000000000000000
R,36,R36,52.732247000000001,-8.962330000000000,40000.000000000000000,100000000.000000000000000
S,36,S36,52.735019000000001,-7.481794000000000,40000.000000000000000,100000000.000000000000000
V,36,V36,51.813031000000002,-10.392956999999999,40000.000000000000000,100000000.000000000000000
W,36,W36,51.833599000000000,-8.943054999999999,40000.000000000000000,100000000.000000000000000
H,37,H37,54.621917000000003,-7.458102000000000,40000.000000000000000,100000000.000000000000000
J,37,J37,54.605097999999998,-5.910543000000000,40000.000000000000000,100000000.000000000000000
M,37,M37,53.720596000000000,-8.984749000000001,40000.000000000000000,100000000.000000000000000
N,37,N37,53.723469000000001,-7.469720000000000,40000.000000000000000,100000000.000000000000000
R,37,R37,52.822104000000003,-8.964314000000000,40000.000000000000000,100000000.000000000000000
S,37,S37,52.824885000000002,-7.480725000000000,40000.000000000000000,100000000.000000000000000
T,37,T37,52.809130000000003,-5.997706000000000,40000.000000000000000,100000000.000000000000000
V,37,V37,51.902836000000001,-10.397729000000000,40000.000000000000000,100000000.000000000000000
W,37,W37,51.923470000000002,-8.944936999999999,40000.000000000000000,100000000.000000000000000
H,38,H38,54.711753999999999,-7.456905000000000,40000.000000000000000,100000000.000000000000000
J,38,J38,54.694879999999998,-5.905930000000000,40000.000000000000000,100000000.000000000000000
M,38,M38,53.810437999999998,-8.986853000000000,40000.000000000000000,100000000.000000000000000
N,38,N38,53.813319999999997,-7.468587000000000,40000.000000000000000,100000000.000000000000000
R,38,R38,52.911960000000001,-8.966309000000001,40000.000000000000000,100000000.000000000000000
S,38,S38,52.914749999999998,-7.479651000000000,40000.000000000000000,100000000.000000000000000
T,38,T38,52.898944000000000,-5.993567000000000,40000.000000000000000,100000000.000000000000000
W,38,W38,52.013339999999999,-8.946830000000000,40000.000000000000000,100000000.000000000000000
X,38,X38,52.016041999999999,-7.490142000000000,40000.000000000000000,100000000.000000000000000
H,39,H39,54.801589999999997,-7.455701000000000,40000.000000000000000,100000000.000000000000000
J,39,J39,54.784660000000002,-5.901292000000000,40000.000000000000000,100000000.000000000000000
M,39,M39,53.900278000000000,-8.988970000000000,40000.000000000000000,100000000.000000000000000
N,39,N39,53.903170000000003,-7.467447000000000,40000.000000000000000,100000000.000000000000000
R,39,R39,53.001814000000003,-8.968313999999999,40000.000000000000000,100000000.000000000000000
S,39,S39,53.004612999999999,-7.478571000000000,40000.000000000000000,100000000.000000000000000
T,39,T39,52.988756000000002,-5.989406000000000,40000.000000000000000,100000000.000000000000000
V,39,V39,52.082441000000003,-10.407347000000000,40000.000000000000000,100000000.000000000000000
W,39,W39,52.103209000000000,-8.948732000000000,40000.000000000000000,100000000.000000000000000
X,39,X39,52.105919000000000,-7.489118000000000,40000.000000000000000,100000000.000000000000000
C,40,C40,54.890625000000000,-7.298642000000000,40000.000000000000000,100000000.000000000000000
D,40,D40,54.871642000000001,-5.740953000000000,40000.000000000000000,100000000.000000000000000
G,40,G40,53.991276999999997,-8.838640000000000,40000.000000000000000,100000000.000000000000000
H,40,H40,53.992243999999999,-7.313826000000000,40000.000000000000000,100000000.000000000000000
M,40,M40,53.092790000000001,-8.821066999999999,40000.000000000000000,100000000.000000000000000
N,40,N40,53.093725999999997,-7.328206000000000,40000.000000000000000,100000000.000000000000000
Q,40,Q40,52.175137999999997,-10.266128000000000,40000.000000000000000,100000000.000000000000000
