FID_habitatinfo201520182__Buffer,FREQUENCY,SUM_legth_met
352,18,2675.760214752013326
353,76,6319.507230927429191
354,10,3695.235587351698086
355,1,679.340321620410919
356,23,4310.106957866956691
357,15,4855.426536267387746
358,69,7139.771600327919259
359,53,14337.569553335273667
360,6,1319.113936686829675
361,14,4917.040230047859040
362,1,1268.533775989623336
363,6,1769.563034815885203
364,12,2887.469962673747432
365,28,4849.138429435089165
366,325,33723.496056814066833
367,27,2786.854650749628945
368,379,15758.410708356504983
369,3,1332.377269455074384
370,9,3943.296752507134443
371,60,11811.353575040988289
372,12,3463.587483180982872
373,5,2997.532220010302808
374,8,2141.465728767688233
375,8,2141.465728767688233
376,5,1417.079732472260048
377,3,579.622524130422676
378,10,1790.882782488409021
379,6,3337.643977524197908
380,1,796.823412106038745
381,4,500.235435332638190
382,46,6022.920842939063732
383,7,2547.783430298085023
384,133,15084.140193200935755
385,18,3871.579224104230889
386,23,4892.089505856081814
387,4,233.856410317638080
388,14,4491.797641477346588
390,1,1137.350884144663269
391,180,15993.897784958384364
392,19,3816.187786165227863
393,44,6226.511427380980422
394,3,1288.853789066128456
395,60,11528.569622619977963
396,86,8870.227403003185827
397,16,3690.153904484801387
398,20,3193.056649285111234
399,14,4115.607342325989521
400,13,1879.426583430346454
401,57,7416.547111058667724
402,4,1530.514525201771448
403,73,5667.639245508240492
404,35,5680.980135187403903
405,23,4423.010933720658613
406,2,1099.068392663185477
407,1,1223.460664059032297
408,27,5457.625227362067562
409,174,17503.234246959316806
410,35,8353.052469384911092
411,4,2420.633689277006852
412,40,4920.946960267714530
413,20,3658.292101273707885
414,11,2486.060252739456701
415,17,3071.053359428985459
416,41,6685.881524016744152
417,7,2553.839944112456124
418,21,4987.086084935880535
419,27,6042.848920405965146
420,38,5815.636564942264158
421,253,15586.803602000045430
422,14,3634.804958207764685
423,4,2542.437733188667153
424,6,3166.576680570866301
425,1,56.889279430453648
426,174,17503.234246959316806
427,14,2745.294937498140371
428,6,1624.737030810921169
429,9,2496.479556403902279
430,23,4143.114032159985072
431,35,3884.267266709595788
432,13,2811.137148162244102
433,19,3360.873867229724965
434,8,4129.737794681381274
435,22,4241.560941347180233
436,55,6779.153236952120096
437,20,3213.165998055601904
438,9,3100.658698618307881
439,11,2882.775631720602632
440,13,2811.450253969507685
441,10,3505.061721807774120
442,5,2050.231672008578244
443,71,7365.059629487041093
444,10,2637.122329034752966
445,20,5585.974002923051557
446,111,11098.088751595729263
447,11,2471.577967211834675
448,10,2241.227479059997222
449,38,5516.101115163769464
450,31,4396.250132660874442
451,33,5016.555618992251766
452,8,1794.304264099865122
453,7,1193.459607953648629
454,36,4695.174103978879430
455,9,3505.025946441447559
456,9,2857.757557060852378
457,12,3379.695284383711169
458,42,7833.737395166841452
459,23,4911.859604979715186
460,2,1636.396438430992021
461,28,3229.651891263551079
462,38,6196.425492291750743
463,42,5090.030614465872532
464,7,2564.897508393854423
465,23,4870.117661011265227
466,3,816.719452753343489
467,9,3031.435129893789963
468,12,3499.514721598765846
469,10,2406.568097347674211
470,182,16102.828034799324087
471,10,1010.642417603097897
472,13,3688.412548535328824
473,30,4939.488563640948996
474,6,1594.320144740751175
475,19,4371.016817155201352
476,35,5680.980135187403903
477,6,1421.355592964723883
478,1,967.956333014395113
479,12,4774.181335853999371
480,9,2931.337211892803680
481,4,1289.326691479003784
482,7,2070.849106067699722
483,7,2277.199838082188762
484,371,28590.428146104120970
485,438,31261.559430470053485
486,1,12.709729396330598
487,3,1686.601515956598632
488,15,5114.269249662793300
489,111,11098.088751595729263
490,2,1089.409073507122685
491,5,1685.628784997490584
492,14,3328.412248679248478
493,1,763.736168403810780
494,27,4726.577633849346057
495,6,1514.157674013506494
496,13,3720.625280102967736
497,13,3720.625280102967736
498,84,8781.428305474912122
499,15,3063.457420709601138
500,7,3030.391216910322328
501,15,2391.494282707800267
502,7,2148.475086391387322
503,4,1673.326752835399930
504,10,3349.506086974463415
505,1,652.062467424716374
